,City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Saint-Joseph,Ghanzi,16,40,-21.7,21.65,57.19,10.22
Saint-Philippe,Atasu,100,86,48.68,71.64,56.66,13.38
Saint-Pierre,Adrar,0,7,27.87,-0.29,98.6,10.29
Sala Consilina,Leningradskiy,91,91,69.38,178.42,37.75,6.4
Salalah,Mulege,2,32,26.88,-111.98,90.11,3.91
Saldanha,Bubaque,29,82,11.28,-15.83,81.11,16.06
Salinopolis,Ludwigslust,96,90,53.33,11.5,56.82,4.0
Salym,El Paraiso,87,98,15.02,-88.98,68.58,3.91
Samarai,Ziyang,100,84,30.12,104.65,72.54,4.45
Sampit,Aklavik,40,38,68.22,-135.01,60.12,4.7
San Andres,Churapcha,0,43,62.0,132.43,74.88,8.66
San Cristobal,Creel,100,19,27.75,-107.63,82.15,5.5
San Ignacio,Brookhaven,1,57,40.78,-72.92,82.42,6.93
San Isidro,Jiuquan,0,24,39.73,98.49,67.64,11.99
San Patricio,Brae,100,93,60.4,-1.35,51.8,10.29
San Rafael,Magadan,26,75,59.56,150.8,50.69,6.89
Sandwick,San Andres,100,82,13.32,122.68,82.1,12.15
Santa Cruz,Tortoli,5,88,39.93,9.66,77.0,2.24
Santa Cruz del Norte,Vestmanna,100,100,62.16,-7.17,50.0,13.87
Sao Bernardo,Nouadhibou,0,64,20.93,-17.03,71.6,20.8
Sao Filipe,Kraslava,56,94,55.9,27.16,50.81,11.65
Sao Gabriel da Cachoeira,Aki,75,88,33.51,133.91,75.2,3.36
Sao Jose dos Campos,Araouane,20,14,18.9,-3.53,99.54,8.14
Saskylakh,Ashland,1,78,38.48,-82.64,78.91,4.05
Sawakin,Jadu,0,61,31.95,12.03,75.22,2.48
Sayat,Kawalu,79,90,-7.38,108.21,66.78,3.24
Sens,Basco,40,62,40.33,-91.2,88.72,6.93
Seoul,Batagay-Alyta,83,41,67.8,130.41,67.28,4.23
Sept-Iles,Minot,40,35,48.23,-101.3,83.14,10.29
Severo-Kurilsk,Sokoto,13,52,13.06,5.24,86.89,13.22
Shahreza,Lasa,75,88,34.92,32.53,72.75,6.93
Shaki,Steinbach,75,35,49.53,-96.69,81.73,9.17
Shimoda,Berlevag,74,83,70.86,29.09,41.8,22.84
Sibu,Hasaki,75,94,35.73,140.83,75.97,2.24
Sioux Lookout,Veraval,0,60,49.65,0.71,67.26,17.22
Sisimiut,Keti Bandar,56,81,24.14,67.45,84.19,21.43
Sistranda,Verkh-Usugli,100,57,52.7,115.17,61.43,6.82
Sitka,La Ronge,75,60,55.1,-105.3,68.0,6.93
Skibbereen,Goderich,0,49,43.74,-81.71,76.39,8.99
Sobolevo,Pierre,1,54,44.37,-100.35,85.01,4.7
Sokoto,Colares,0,82,38.8,-9.45,63.75,10.29
Sokyryany,Sistranda,75,100,63.73,8.83,48.81,16.11
Songkhla,Melfort,1,47,52.87,-104.61,75.2,2.24
Souillac,Malinovoye Ozero,68,83,51.68,79.77,58.21,10.22
Soyo,Port-Cartier,90,87,50.03,-66.88,56.12,9.17
Springfield,Petrozavodsk,100,100,61.79,34.39,55.4,2.24
Srednekolymsk,Srednekolymsk,100,40,67.46,153.71,59.11,15.03
Steinbach,Hoquiam,90,77,46.98,-123.89,62.82,13.87
Strelka,Mayo,90,22,63.59,-135.9,75.2,5.82
Strezhevoy,Baculin,100,76,7.45,126.58,78.7,2.44
Sucevita,Obo,100,97,5.39,26.49,67.68,7.09
Suez,Carballo,0,93,43.21,-8.69,58.59,2.24
Suhbaatar,Asyut,0,23,27.18,31.19,87.8,9.17
Suntar,Cavalcante,7,47,-13.79,-47.46,63.43,8.21
Sur,Bitlis,0,74,38.4,42.11,58.63,3.15
Svetlogorsk,Port Hedland,40,100,-20.31,118.58,57.2,3.36
Szubin,Uberlandia,0,56,-18.92,-48.28,69.82,8.23
Tabas,Bahia Honda,48,75,22.9,-83.16,84.29,17.45
Tadine,Pascagoula,90,65,30.37,-88.56,89.49,10.29
Talnakh,Liverpool,0,72,53.41,-2.98,58.24,6.93
Tambacounda,Aitape,100,66,-3.15,142.36,84.76,2.26
Tanout,Chunhuhub,49,33,19.59,-88.59,92.3,7.31
Tara,Black River,40,74,18.03,-77.85,82.76,3.36
Tarabuco,Port Hardy,75,82,50.7,-127.42,57.2,6.93
Tasiilaq,Athens,20,47,37.98,23.73,77.99,4.7
Tazovskiy,Mabaruma,65,98,8.2,-59.78,73.85,2.59
Te Anau,Aswan,0,12,24.09,32.9,96.8,9.17
Teguise,Karratha,0,62,-20.74,116.85,66.82,17.9
Teguldet,Westport,1,37,41.14,-73.36,83.08,3.36
Temyasovo,Malpe,40,83,13.35,74.72,80.6,4.7
Thanh Hoa,Xingtai,100,54,37.07,114.49,76.07,1.25
The Valley,Killybegs,0,63,54.63,-8.45,66.0,5.99
Thompson,Nizwa,0,64,22.93,57.53,78.23,2.66
Thunder Bay,Corrales,37,89,5.83,-72.84,48.17,3.31
Tiksi,La Maddalena,0,73,39.15,9.02,77.86,5.82
Tiznit,Rome,0,53,41.89,12.48,75.36,4.7
Togur,Coahuayana,81,61,18.62,-100.35,82.64,3.27
Torbat-e Jam,Nioki,99,60,-2.72,17.69,76.5,3.13
Torbay,Whyalla,0,67,-33.04,137.58,57.2,11.41
Tortoli,Vengurla,75,100,15.86,73.64,75.2,11.41
Touros,Blythe,1,10,33.61,-114.59,101.34,13.87
Trebinje,Daoukro,94,99,7.06,-3.97,70.72,3.91
Tres de Maio,Eyl,62,56,7.98,49.82,77.92,29.51
Tsiroanomandidy,Sao Jose dos Campos,0,88,-23.18,-45.89,66.72,4.7
Tual,Amga,0,41,60.89,131.98,72.9,8.79
Tuatapere,Roebourne,0,62,-20.77,117.15,67.46,15.64
Tuktoyaktuk,Van Buren,90,88,47.16,-67.94,62.1,5.77
Tulum,Tura,78,51,64.27,100.22,75.11,5.79
Tura,Labytnangi,68,77,66.66,66.39,46.53,0.29
Turukhansk,Tsiroanomandidy,35,79,-18.77,46.05,62.8,1.99
Tutoia,Gillette,1,31,44.29,-105.5,85.53,11.41
Tuy Hoa,Fort Nelson,90,62,58.81,-122.69,57.2,2.24
Uberlandia,Sao Gabriel da Cachoeira,35,94,-0.13,-67.09,75.2,0.81
Uch,Comodoro Rivadavia,0,41,-45.87,-67.48,32.0,4.7
Udachnyy,Iwanai,84,79,42.97,140.51,64.82,3.47
Umm Lajj,Jinchang,100,40,38.52,102.19,61.34,6.98
Upernavik,Tutoia,0,83,-2.76,-42.27,82.4,8.05
Ushuaia,Sayat,0,37,38.78,63.88,82.4,11.41
Vadinsk,Peniche,0,82,39.36,-9.38,61.99,10.29
Vagur,Price,1,13,39.6,-110.81,83.95,5.01
Vaini,Wertheim,0,52,49.76,9.51,61.9,8.05
Vaitape,San Patricio,32,88,-26.98,-56.83,65.3,9.1
Vallenar,Borzya,88,62,50.39,116.53,59.83,19.39
Van Buren,Puerto del Rosario,0,68,28.5,-13.86,71.6,16.11
Vangaindrano,Kloulklubed,75,78,7.04,134.26,82.4,11.41
Vao,Qena,0,22,26.16,32.72,91.4,4.65
Vardo,Bambanglipuro,90,75,-7.95,110.28,77.0,13.49
Veere,Mount Isa,0,63,-20.73,139.49,60.8,3.36
Vengurla,Sawakin,43,15,19.1,37.33,87.46,5.64
Veraval,Zhangye,91,36,38.94,100.46,63.02,9.64
Verkh-Usugli,Najran,0,13,17.54,44.22,89.6,3.36
Verkhniy Mamon,Natal,40,78,-5.81,-35.21,77.0,10.29
Vestmanna,Karatau,5,75,43.18,70.46,75.0,4.27
Vicar,Teguise,20,73,29.06,-13.56,71.6,12.75
Victor Harbor,Minas de Oro,7,36,-15.32,-73.14,48.24,1.63
Victoria,Chavakkad,20,94,10.53,76.05,81.36,3.36
Victoria Point,Gorontalo,31,83,0.54,123.06,79.7,7.4
Vila Franca do Campo,Turukhansk,94,94,65.8,87.96,49.82,10.49
Vila Velha,Mineral Wells,40,52,32.81,-98.11,89.96,8.05
Vilhena,Okhotsk,5,37,59.36,143.24,71.15,19.08
Vostok,Veere,0,87,51.55,3.67,58.55,10.29
Voznesenye,Sisimiut,91,85,66.94,-53.67,36.05,25.14
Wanaka,Mahibadhoo,21,74,3.78,72.97,83.5,7.27
Wattegama,Zhicheng,100,81,35.04,112.59,70.25,4.27
Weiser,Progreso,0,66,-34.68,-56.22,51.94,6.93
Wertheim,Szubin,75,77,53.01,17.74,60.3,5.82
Westport,Kaeo,28,85,-35.1,173.78,57.0,5.99
Wheatley,La Solana,0,27,38.94,-3.24,77.47,4.5
Whyalla,Piacabucu,20,82,-10.41,-36.43,74.93,8.23
Winchester,Tulum,75,83,20.21,-87.46,80.22,9.17
Wucheng,Chino Valley,1,6,34.76,-112.45,86.9,12.75
Xingtai,Kajaani,0,66,64.22,27.73,51.8,8.05
Xining,Vicar,0,73,36.83,-2.64,72.66,1.12
Yaan,Chipata,0,68,-13.64,32.65,56.02,5.1
Yadrin,Angola,1,58,41.63,-85.0,85.77,4.7
Yar-Sale,Tiznit,0,85,29.7,-9.73,67.39,21.47
Yarada,Huarmey,12,88,-10.07,-78.15,63.45,17.34
Yellowknife,Iralaya,75,74,15.0,-83.23,86.0,9.17
Yeppoon,Suez,0,65,29.97,32.54,76.5,13.06
Zatoka,Sabya,20,59,17.15,42.62,95.0,4.7
Zeya,Richards Bay,0,62,-28.77,32.06,70.61,24.09
Zhangye,Saint-Joseph,0,73,43.56,6.97,79.81,3.36
Zhicheng,Salym,92,78,60.06,71.48,49.21,3.89
Zhigansk,Leh,76,59,34.16,77.58,28.01,3.98
Ziyang,Buraydah,0,17,26.33,43.97,95.0,9.17
